Vacancy;Company;Salary range;Curr;Brutto/netto;Link
Statybos projektų vadovas (-ė);Atranka360;3000;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-11102307
Projekto inžinierinės dalies (ŠVOK / VN) savikainos skaičiavimo projektų vadovas (-ė);UAB „INFES“;Nuo 2400;€/mėn.;Į rankas;https://www.cvbankas.lt/projekto-inzinierines-dalies-svok-vn-savikainos-skaiciavimo-projektu-vadovas-e-vilniuje/1-11102223
Projektų vadovas;MB „Adisoftas“;Nuo 1500;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-vilniuje/1-10254199
Statybos projektų vadovas (-ė);UAB „HSC Baltic“;2700-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-7648063
IT paslaugų skyriaus vadovas (-ė);UAB Medicinos bankas;3200-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-paslaugu-skyriaus-vadovas-e-vilniuje/1-11101987
PERSONALO SKYRIAUS PROJEKTŲ VADOVAS (-Ė) | PRISIJUNK PRIE LYDERIAUJANČIOS ĮDARBINIMO ĮMONĖS!;UAB „Biuro“;1500-2200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/personalo-skyriaus-projektu-vadovas-e-prisijunk-prie-lyderiaujancios-idarbinimo-imones-vilniuje/1-11101941
Eksploatacijos tarnybos vadovas (-ė);UAB „Vilniaus apšvietimas“;3700-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/eksploatacijos-tarnybos-vadovas-e-vilniuje/1-11101675
PARDAVIMŲ PROJEKTŲ VADOVAS (-Ė);UAB „FERN Group“;Nuo 2000;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-vilniuje/1-10977344
STRATEGINIŲ POKYČIŲ PROJEKTŲ VADOVAS (-Ė);AB „Lietuvos automobilių kelių direkcija“;2832-4248;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/strateginiu-pokyciu-projektu-vadovas-e-vilniuje/1-11101631
Energetikos inžinierius - projektų vadovas;IKI Lietuva, UAB;2300-2900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/energetikos-inzinierius-projektu-vadovas-vilniuje/1-11101557
Muitinės tarpininko atstovų vadovas (-ė);EVERWEST, UAB;3636-4794;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/muitines-tarpininko-atstovu-vadovas-e-vilniuje/1-11101143
PARDAVIMŲ PROJEKTŲ VADOVAS (-Ė) VOKIETIJOS RINKAI;UAB Emplonet;2800-3000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-vokietijos-rinkai-vilniuje/1-11100855
PROJEKTŲ VADOVAS (-Ė);AB „Lietuvos automobilių kelių direkcija“;2832-4300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-11100769
Tiekimo projektų vadovas (-ė);UAB „LW group“;1700-2000;€/mėn.;Į rankas;https://www.cvbankas.lt/tiekimo-projektu-vadovas-e-vilniuje/1-11061393
Rinkodaros projektų vadovas;VšĮ „BC Wolves“;3100-3300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/rinkodaros-projektu-vadovas-vilniuje/1-10427382
Projektų vadovas (-ė);UAB „FIMA“;Nuo 2807;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-11100485
AKTYVIŲ PARDAVIMŲ PROJEKTŲ VADOVAS (-Ė) VILNIUJE;UAB „Jaukurai“;1500-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/aktyviu-pardavimu-projektu-vadovas-e-vilniuje-vilniuje/1-10928474
Projektų savikainos skaičiavimo vadovas (-ė);UAB „INFES“;Nuo 3310;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-savikainos-skaiciavimo-vadovas-e-vilniuje/1-9657681
Personalo paieškos vadovas (-ė) - įmonės direktorius (-ė);„Hirelabas“ įmonių grupė;3000-4200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/personalo-paieskos-vadovas-e-imones-direktorius-e-vilniuje/1-11097679
Atsinaujinančios energetikos produkto vadovas (-ė);EPSO-G grupė;3000-3800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/atsinaujinancios-energetikos-produkto-vadovas-e-vilniuje/1-9696801
Pastočių projektų skyriaus vadovas (-ė);EPSO-G grupė;4600-6400;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pastociu-projektu-skyriaus-vadovas-e-vilniuje/1-11001129
Teisininkas (-ė) Investicinės paslaugos;AB ŠIAULIŲ BANKAS;1760-3500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/teisininkas-e-investicines-paslaugos-vilniuje/1-11040549
Balansavimo produktų vadovas (-ė);EPSO-G grupė;3000-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/balansavimo-produktu-vadovas-e-vilniuje/1-10256465
Pardavimų vadovas (-ė);UAB „Terra Modus“;Nuo 1500;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimu-vadovas-e-vilniuje/1-11092287
Projektų vadovas (-ė) (ŠVOK, Šaldymas);UAB „BALTIC MASTER“;Nuo 1200;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-svok-saldymas-vilniuje/1-11044515
Projektų vadovas (-ė) (restoranų, kavinių įranga, kepyklos);UAB „BALTIC MASTER“;Nuo 1200;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-restoranu-kaviniu-iranga-kepyklos-vilniuje/1-11044531
YPATINGOJO STATINIO STATYBOS TECHNINĖS PRIEŽIŪROS VADOVAS (-Ė);UAB „Sweco Lietuva“;1980-2970;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/ypatingojo-statinio-statybos-technines-prieziuros-vadovas-e-darbas-namuose/1-11092125
Projektų vadovas (-ė);UAB „People Link“;3400-4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-11092049
Pardavimų projektų vadovas (-ė) (premium apšvietimo sistemos);UAB „People Link“;2300-3000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-premium-apsvietimo-sistemos-vilniuje/1-11091973
IT projektų vadovas (-ė);UAB „VAGOS prekyba“;1890-2450;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-projektu-vadovas-e-vilniuje/1-11091693
Inovacijų ir technologijų miesto projektų kūrėja (-as);Amber staff;2380-2800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/inovaciju-ir-technologiju-miesto-projektu-kureja-as-vilniuje/1-11091621
Stažuotoja (-as) Naujų verslo klientų pažinimo skyriuje (KYC);Swedbank;1100-1600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/stazuotoja-as-nauju-verslo-klientu-pazinimo-skyriuje-kyc-vilniuje/1-11091557
Specialiųjų statybos darbų (elektrotechnikos) vadovas (-ė);AB „Panevėžio statybos trestas“;2750-3750;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/specialiuju-statybos-darbu-elektrotechnikos-vadovas-e-vilniuje/1-10968368
IT VADOVAS (-Ė);UAB „People Link“;3300-4100;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-vadovas-e-vilniuje/1-11091335
Nekilnojamojo turto valdymo ir vystymo Projektų vadovas;Swedbank;2450-3650;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/nekilnojamojo-turto-valdymo-ir-vystymo-projektu-vadovas-vilniuje/1-11091179
Tele2: Prekės ženklo vadovas (B2B segmentas);UAB „People Link“;4200-4620;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/tele2-prekes-zenklo-vadovas-b2b-segmentas-vilniuje/1-11091105
Statybos vadovas;UAB „VEIKUS“;2000-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-vadovas-vilniuje/1-11091107
Teisės grupės vadovas (-ė);SBA Grupė;3000-3600;€/mėn.;Į rankas;https://www.cvbankas.lt/teises-grupes-vadovas-e-vilniuje/1-11089291
Projektų vadovas (-ė);VšĮ „Neutralus klimatui Vilnius“;2000-2900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-9758195
Statybos darbų vadovas (-ė);UAB „Rimgauda“;2500-3500;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-darbu-vadovas-e-vilniuje/1-11088919
Atitikties vadovas (-ė) Pinigų plovimo ir teroristų finansavimo prevencija;AB ŠIAULIŲ BANKAS;2800-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/atitikties-vadovas-e-pinigu-plovimo-ir-teroristu-finansavimo-prevencija-vilniuje/1-11088753
Technologijų plėtros projektų vadovas (-ė);TMV Capital įmonių grupė;2200-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/technologiju-pletros-projektu-vadovas-e-vilniuje/1-9649867
Jaunesnysis(-ioji) projektų vadovas (-ė);Multiplex, UAB;1100-1300;€/mėn.;Į rankas;https://www.cvbankas.lt/jaunesnysis-ioji-projektu-vadovas-e-vilniuje/1-11088245
Projektų vadovas (-ė);Multiplex, UAB;1600-1800;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-11088219
Projektų vadovas (-ė) (teritorijų atnaujinimas);VšĮ „Atnaujinkime miestą“;1400-2000;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-teritoriju-atnaujinimas-vilniuje/1-8917250
Saugos projektų vadovas (-ė);UAB „Ekskomisarų biuras“;2360;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/saugos-projektu-vadovas-e-vilniuje/1-8244893
Specialiųjų dalių projektų vadovas (-ė) elektrotechnikos dalims;UAB „INFES“;3310-4140;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/specialiuju-daliu-projektu-vadovas-e-elektrotechnikos-dalims-vilniuje/1-9420133
KOMUNIKACIJOS PROJEKTŲ VADOVAS (-Ė);AB „Lietuvos automobilių kelių direkcija“;2832-4248;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/komunikacijos-projektu-vadovas-e-vilniuje/1-11085383
Atitikties vadovas (-ė) Tarptautinių sankcijų įgyvendinimo srityje;AB ŠIAULIŲ BANKAS;2800-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/atitikties-vadovas-e-tarptautiniu-sankciju-igyvendinimo-srityje-vilniuje/1-11080961
Jaunesnysis projektų vadovas (-ė);UAB „Sintesi consulting“;800-1800;€/mėn.;Į rankas;https://www.cvbankas.lt/jaunesnysis-projektu-vadovas-e-vilniuje/1-9271314
Projektų vadovas (-ė);UAB „AQUAHOME“;1400-1600;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-4259667
Ekspertas (-ė) (atestavimo padalinys);VšĮ „Statybos sektoriaus vystymo agentūra“;Nuo 1800;€/mėn.;Į rankas;https://www.cvbankas.lt/ekspertas-e-atestavimo-padalinys-vilniuje/1-9816241
Pardavimų projektų vadovas (-ė) (inžinerinių sprendimų aktyvūs pardavimai LT / LV);CITY SERVICE įmonių grupė;3300-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-inzineriniu-sprendimu-aktyvus-pardavimai-lt-lv-vilniuje/1-10070831
KARJERA IR PATRAUKLUS DARBO UŽMOKESTIS T A L E N T I N G I E M S STATYBŲ INŽINERIJOS S T U D E N T A M S;UAB „Hanner“;Nuo 1650;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/karjera-ir-patrauklus-darbo-uzmokestis-t-a-l-e-n-t-i-n-g-i-e-m-s-statybu-inzinerijos-s-t-u-d-e-n-t-a-m-s-vilniuje/1-11082173
Projektų vadovas;UAB „Akrusta“;1400-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-vilniuje/1-11081969
Bendrųjų krovinių logistikos skyriaus vadovas (-ė);UAB „Autoverslo terminalas“;1500-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/bendruju-kroviniu-logistikos-skyriaus-vadovas-e-vilniuje/1-11081963
PARDAVIMŲ PROJEKTŲ VADOVAS;UAB „Expertus LT“;1200-1500;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimu-projektu-vadovas-vilniuje/1-11081883
RYTŲ REGIONO STATYBOS PROJEKTŲ VADOVAS (-Ė);AB „Kelių priežiūra“;3720-4080;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/rytu-regiono-statybos-projektu-vadovas-e-vilniuje/1-11080641
LEAN vadovas (-ė);EVERWEST, UAB;3030-3790;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/lean-vadovas-e-vilniuje/1-11080569
STATINIO PROJEKTŲ VADOVAS (-Ė);UAB „Sweco Lietuva“;2480-4600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statinio-projektu-vadovas-e-darbas-namuose/1-10738678
STATYBOS DARBŲ VADOVAS (-Ė) - MEISTRAS (-Ė) (kelių statyba);UAB „Kamitra“ ir Ko;1700-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-darbu-vadovas-e-meistras-e-keliu-statyba-vilniuje/1-11080105
Klientų patirties valdymo skyriaus projektų vadovas (-ė)| SEB, Vilnius;SEB;2400-3600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/klientu-patirties-valdymo-skyriaus-projektu-vadovas-e-seb-vilnius-vilniuje/1-9662117
Turizmo projektų vadovas (-ė);STFF Stafferty, UAB;1400;€/mėn.;Į rankas;https://www.cvbankas.lt/turizmo-projektu-vadovas-e-vilniuje/1-11078001
Plėtros skyriaus projektų vadovas (-ė);VšĮ „Atnaujinkime miestą“;2300-2900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pletros-skyriaus-projektu-vadovas-e-vilniuje/1-9156603
ELEKTROMOBILIŲ ĮKROVIMO STOTELIŲ VERSLUI PARDAVIMŲ VADOVAS (-Ė);UAB „VEESLA“;1500-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/elektromobiliu-ikrovimo-stoteliu-verslui-pardavimu-vadovas-e-vilniuje/1-11077643
Personalo projektų vadovas (-ė) Vilniuje;UAB „HEADEX“;1752-2104;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/personalo-projektu-vadovas-e-vilniuje-vilniuje/1-11077519
Statybos vadovas (-ė);AB „Panevėžio statybos trestas“;2750-3750;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-vadovas-e-vilniuje/1-11077039
Projekto vadovas (-ė);AB „Panevėžio statybos trestas“;3750-4750;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projekto-vadovas-e-vilniuje/1-11077035
Statybos projektų vadovas (-ė);UAB „Strateginis partneris“;Nuo 1700;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-6256525
Statybos darbų vadovas (vidaus apdaila);UAB „Strateginis partneris“;Nuo 1300;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-darbu-vadovas-vidaus-apdaila-vilniuje/1-6256543
IT sprendimų pardavimo projektų vadovas (-ė);ATEA grupė;1500-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/it-sprendimu-pardavimo-projektu-vadovas-e-vilniuje/1-11076733
ŠVOK projekto dalies vadovas (-ė);„Teltonikos“ įmonių grupė;2500-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/svok-projekto-dalies-vadovas-e-vilniuje/1-10774292
Projektavimo Projektų vadovas (-ė);UAB „Aplan“;3000-4600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektavimo-projektu-vadovas-e-vilniuje/1-4384123
NT plėtros projektų vadovas (-ė) Vilniuje;UAB „INFES“;Nuo 4600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/nt-pletros-projektu-vadovas-e-vilniuje-vilniuje/1-10984188
Partnerystės projekto vadovas (-ė) (terminuota sutartis);AAS „BTA Baltic Insurance Company“ filialas Lietuvoje;1800-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/partnerystes-projekto-vadovas-e-terminuota-sutartis-vilniuje/1-10981606
Projektų vadovas (-ė) - Projektų įgyvendinimo skyriuje;EPSO-G grupė;2400-3700;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-projektu-igyvendinimo-skyriuje-vilniuje/1-9704891
NT eksploatacijos komandos vadovas (-ė), vyriausiasis inžinierius (-ė);„Lietuvos geležinkelių“ grupė;1835-2755;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/nt-eksploatacijos-komandos-vadovas-e-vyriausiasis-inzinierius-e-vilniuje/1-11068295
GAMYBOS VADOVAS – MEISTRAS;UAB „Dreamfront“;1700-2300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/gamybos-vadovas-meistras-vilniuje/1-11067921
