Vacancy;Company;Salary range;Curr;Brutto/netto;Link
SAULĖS PARKŲ STATYBŲ VADOVAS (-Ė);Talent Lab;4000-4600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/saules-parku-statybu-vadovas-e-vilniuje/1-11065183
Techninio aptarnavimo projektų vadovas (-ė);UAB „Ekskomisarų biuras“;2455-3305;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/techninio-aptarnavimo-projektu-vadovas-e-vilniuje/1-9603747
PRODUKTŲ IR ĮRANGOS PIRKIMO VADOVAS (-Ė);UAB „Solet“;Nuo 1500;€/mėn.;Į rankas;https://www.cvbankas.lt/produktu-ir-irangos-pirkimo-vadovas-e-vilniuje/1-11064483
Projektų vadovas (-ė);UAB „Betono mozaika“;2200-2460;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-8098505
Projektų Vadovas;UAB „Motecha“;2500-4000;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-lentvaryje/1-9660001
DARBŲ VADOVAS (-Ė) (KĖLIMO ĮRENGINIŲ DIEGIMO SRITYJE);UAB „Paradis“;1200-2000;€/mėn.;Į rankas;https://www.cvbankas.lt/darbu-vadovas-e-kelimo-irenginiu-diegimo-srityje-vilniuje/1-7014943
SAULĖS PARKŲ PROJEKTŲ VADOVAS (-Ė);Talent Lab;3700-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/saules-parku-projektu-vadovas-e-vilniuje/1-11064467
VERSLO PARDAVIMŲ PROJEKTŲ VADOVAS (-Ė);UAB „Solet“;Nuo 1500;€/mėn.;Į rankas;https://www.cvbankas.lt/verslo-pardavimu-projektu-vadovas-e-vilniuje/1-11064411
Statybų darbų vadovas (gerbuvio darbams) VILNIUS;UAB „RENOVAS“;1800-3800;€/mėn.;Į rankas;https://www.cvbankas.lt/statybu-darbu-vadovas-gerbuvio-darbams-vilnius-vilniuje/1-6571859
Statybos Darbų Vadovas (LVN TINKLAI);UAB „Stropus“;2000-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/statybos-darbu-vadovas-lvn-tinklai-vilniuje/1-11063333
Pardavimo vadovas (-ė)/ VMG Wood Invest;VMGcorp;1800;€/mėn.;Į rankas;https://www.cvbankas.lt/pardavimo-vadovas-e-vmg-wood-invest-vilniuje/1-11063349
Informacinių sistemų projektų vadovas (-ė);EPSO-G grupė;2600-3600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/informaciniu-sistemu-projektu-vadovas-e-vilniuje/1-10784830
Verslo plėtros vadovas (-ė) FVL;UAB „Vitlaima“;3000-4000;€/mėn.;Į rankas;https://www.cvbankas.lt/verslo-pletros-vadovas-e-fvl-vilniuje/1-11061415
Privačių rėmėjų projektų vadovas (-ė);Maltos ordino pagalbos tarnyba;2300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/privaciu-remeju-projektu-vadovas-e-vilniuje/1-11061243
B2B PROJEKTŲ ĮGYVENDINIMO KOMANDOS VADOVAS (-Ė);Talent Lab;3800-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/b2b-projektu-igyvendinimo-komandos-vadovas-e-vilniuje/1-11061025
Interneto produktų vadovė (-as);UAB „Bitė Lietuva“;2800-3500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/interneto-produktu-vadove-as-vilniuje/1-11060887
Projektų vadovas (-ė) (Keliai);Atranka360;2400-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-keliai-vilniuje/1-11060183
COO (Chief Operating Officer) – operacijų vadovas (-ė);UAB „Bunasta“;5785-7400;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/coo-chief-operating-officer-operaciju-vadovas-e-vilniuje/1-11059905
Projektų koordinatorius (-ė);Telia;2300-3000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-koordinatorius-e-vilniuje/1-11059729
Statybos projektų vadovas (-ė) Vilniuje;UAB „INFES“;Nuo 4470;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje-vilniuje/1-8380341
Statybos projektų vadovas (-ė);UAB „Gevalda“;4100-4900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-5803725
Statybų vadovas (-ė);UAB „VEIKUS“;1500-2200;€/mėn.;Į rankas;https://www.cvbankas.lt/statybu-vadovas-e-vilniuje/1-11056895
VERSLO PLĖTROS DEPARTAMENTO PARTNERYSČIŲ VADOVAS (-Ė);UAB Emplonet;2600-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/verslo-pletros-departamento-partnerysciu-vadovas-e-vilniuje/1-11057163
PRODUKTŲ VALDYMO DEPARTAMENTO PROJEKTŲ VADOVAS (-Ė);UAB Emplonet;2600-4500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/produktu-valdymo-departamento-projektu-vadovas-e-vilniuje/1-11057161
Projektų vadovas (-ė) (baldai, šviestuvai);UAB „Light House Studio“;Nuo 2000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-baldai-sviestuvai-vilniuje/1-10946644
Produktų vadovas. Instaliaciniai ir pramoniniai kabeliai bei jų aksesuarai;UAB „Helso“;Nuo 1350;€/mėn.;Į rankas;https://www.cvbankas.lt/produktu-vadovas-instaliaciniai-ir-pramoniniai-kabeliai-bei-ju-aksesuarai-vilniuje/1-8712712
MARKETINGO IR KOMUNIKACIJOS PROJEKTŲ VADOVAS (-Ė);UAB „Altas komercinis transportas“;2500-4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/marketingo-ir-komunikacijos-projektu-vadovas-e-vilniuje/1-11056829
Uzbekistano rinkos projekto vadovas (-ė) || Karjeros galimybės;Transporto įmonių grupė;1700-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/uzbekistano-rinkos-projekto-vadovas-e-karjeros-galimybes-vilniuje/1-11056245
Produktų ir paslaugų vystymo vadovas (-ė);EPSO-G grupė;4500-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/produktu-ir-paslaugu-vystymo-vadovas-e-vilniuje/1-10957352
Mechanikas (-ė);Atranka360;1930-4130;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/mechanikas-e-vilniuje/1-9533104
Skaitmeninės reklamos projektų vadovas (-ė);UAB „Media partner“;1500-2500;€/mėn.;Į rankas;https://www.cvbankas.lt/skaitmenines-reklamos-projektu-vadovas-e-vilniuje/1-10950576
Projektų vadovas;UAB „Tranela“;3500-6000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-vilniuje/1-11055985
Visuomenės sveikatos stiprinimo skyriaus vadovas (-ė);Amber staff;1953-4248;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/visuomenes-sveikatos-stiprinimo-skyriaus-vadovas-e-vilniuje/1-10234835
STATYBOS PROJEKTŲ VADOVAS (-Ė);AB Vilniaus šilumos tinklai;2250-3350;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projektu-vadovas-e-vilniuje/1-10947484
SKAITMENINIŲ KANALŲ PROJEKTŲ VADOVAS (-Ė);UAB „MAXIMA LT“;2400-2600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/skaitmeniniu-kanalu-projektu-vadovas-e-vilniuje/1-11055913
IT tinklo administratorius (-ė);AB Lietuvos oro uostai;2800-3700;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-tinklo-administratorius-e-vilniuje/1-11055513
Serverių administratorius (-ė);AB Lietuvos oro uostai;2800-3700;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/serveriu-administratorius-e-vilniuje/1-11055499
Projektų vadovas (-ė) (nestandartiniai baldai);UAB „BALTIC MASTER“;Nuo 1200;€/mėn.;Į rankas;https://www.cvbankas.lt/projektu-vadovas-e-nestandartiniai-baldai-vilniuje/1-11044549
Elektros, silpnų srovių, PVS projekto dalies vadovas (-ė);„Teltonikos“ įmonių grupė;2500-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/elektros-silpnu-sroviu-pvs-projekto-dalies-vadovas-e-vilniuje/1-10774336
Projektinės veiklos valdymo vadovas (-ė);VĮ „Ignalinos atominė elektrinė“;5750-8600;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektines-veiklos-valdymo-vadovas-e-vilniuje/1-11044225
Rinkodaros departamento vadovas (-ė);Aljansas AIBĖ, UAB;4960-5700;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/rinkodaros-departamento-vadovas-e-vilniuje/1-11044625
SANDĖLIO VADOVAS (-Ė);UAB „Delamode Baltics“;2500-4000;€/mėn.;Į rankas;https://www.cvbankas.lt/sandelio-vadovas-e-vilniuje/1-10930674
Statybos projektų vadovas (-ė) UŽSIENYJE;UAB „Simplika“;5700-7500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projektu-vadovas-e-uzsienyje-vilniuje/1-10582430
Klientų patirties valdymo vadovas (-ė);„Lietuvos geležinkelių“ grupė;2685-4025;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/klientu-patirties-valdymo-vadovas-e-vilniuje/1-10472384
PROJEKTŲ VADOVAS (-Ė);AB Vilniaus šilumos tinklai;2250-3350;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-vilniuje/1-10934592
Pardavimų projektų vadovas (-ė) (Eksportas);UAB „People Link“;3306-3636;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-projektu-vadovas-e-eksportas-vilniuje/1-10901080
Pastatų ūkio priežiūros vadovas (-ė);UAB „Balticsofa“;2700;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pastatu-ukio-prieziuros-vadovas-e-vilniuje/1-11040267
Pardavimų komandos vadovas Vilniuje;UAB „TELE2“;2100-4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-komandos-vadovas-vilniuje-vilniuje/1-11038149
Pardavimų skyriaus vadovas (-ė) (programinė įranga);UAB „Personalo valdymo inovacijos“;4959-5786;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-skyriaus-vadovas-e-programine-iranga-vilniuje/1-11037913
Apdailos projektų vadovas;MGVapdaila;1500-3000;€/mėn.;Į rankas;https://www.cvbankas.lt/apdailos-projektu-vadovas-vilniuje/1-9518146
Programinės įrangos projektų vadovas (-ė);UAB „Personalo valdymo inovacijos“;3306-4959;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/programines-irangos-projektu-vadovas-e-vilniuje/1-11037903
Statybos darbų techninės priežiūros vadovas (-ė);UAB „Personalo valdymo inovacijos“;4463-5455;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-darbu-technines-prieziuros-vadovas-e-vilniuje/1-11037685
Statybos projekto vadovas (-ė);UAB „Personalo valdymo inovacijos“;4959-6612;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-projekto-vadovas-e-vilniuje/1-11037663
Projekto statybos dalies vadovas (-ė);UAB „Personalo valdymo inovacijos“;4959-5786;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projekto-statybos-dalies-vadovas-e-vilniuje/1-11037643
Statinio statybos vadovas (-ė);„Teltonikos“ įmonių grupė;2500-3500;€/mėn.;Į rankas;https://www.cvbankas.lt/statinio-statybos-vadovas-e-vilniuje/1-10581956
Konferencinių paslaugų bei poilsio organizavimo pardavimų projektų vadovas (-ė) (darbui biure,aktyvūs pardavimai);UAB „HR Management“;1800-3000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/konferenciniu-paslaugu-bei-poilsio-organizavimo-pardavimu-projektu-vadovas-e-darbui-biure-aktyvus-pardavimai-vilniuje/1-11035491
Pardavimų vystymo projektų vadovas (-ė) (aktyvūs pardavimai);UAB „HR Management“;2000-3500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-vystymo-projektu-vadovas-e-aktyvus-pardavimai-vilniuje/1-11035481
Projektų vadovas (-ė) - analitikas (-ė);UAB „Dizaino kryptis“;n/a;n/a;n/a;https://www.cvbankas.lt/projektu-vadovas-e-analitikas-e-vilniuje/1-8271623
Projektų vadovas (-ė) • EMS;„Teltonikos“ įmonių grupė;3120-3467;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-ems-vilniuje/1-11026043
Projektų vadovas (-ė) (infrastruktūros statybiniai projektai);AB Lietuvos oro uostai;2800-3200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-vadovas-e-infrastrukturos-statybiniai-projektai-vilniuje/1-10612682
Statinio statybos vadovas (-ė) Vilniuje;UAB „INFES“;Nuo 3310;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statinio-statybos-vadovas-e-vilniuje-vilniuje/1-8314697
Junior SEO specialistas (-ė);UAB „Ateities rinkodara“;Nuo 1000;€/mėn.;Į rankas;https://www.cvbankas.lt/junior-seo-specialistas-e-vilniuje/1-11023667
Statybos darbų vadovas (-ė);UAB „People Link“;Nuo 2000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-darbu-vadovas-e-vilniuje/1-11023753
Pardavimų vadovas (-ė) (izoliavimo - skardinimo ir pastolių montavimo projektai);UAB „Hotrema“;Nuo 5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/pardavimu-vadovas-e-izoliavimo-skardinimo-ir-pastoliu-montavimo-projektai-vilniuje/1-11023247
BIM vadovas (-ė) – Technologinio turto valdymo grupėje;EPSO-G grupė;3000-3800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/bim-vadovas-e-technologinio-turto-valdymo-grupeje-vilniuje/1-10091931
