Vacancy;Company;Salary range;Curr;Brutto/netto;Link
Draudimo rizikų valdymo departamento direktorius (-ė);AAS „BTA Baltic Insurance Company“ filialas Lietuvoje;7000-10000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/draudimo-riziku-valdymo-departamento-direktorius-e-vilniuje/1-11111735
Personalo paieškos vadovas (-ė) - įmonės direktorius (-ė);„Hirelabas“ įmonių grupė;3000-4200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/personalo-paieskos-vadovas-e-imones-direktorius-e-vilniuje/1-11097679
Žmonių ir kultūros departamento direktorius (-ė);UAB „Verslo investicijos personalui“;5600-8100;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/zmoniu-ir-kulturos-departamento-direktorius-e-vilniuje/1-11089435
Prekybos centro direktorius Vilniuje, Vilnius, Vilnius;UAB „RIMI LIETUVA“;2000-3300;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/prekybos-centro-direktorius-vilniuje-vilnius-vilnius-vilniuje/1-11084921
Švietimo įstaigos direktorius;Vilniaus miesto savivaldybės administracija;2754-3262;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/svietimo-istaigos-direktorius-vilniuje/1-8634208
Bankinės įrangos, bankomatų ir jų sistemų techninės priežiūros departamento direktorius (-ė);UAB „Personalo valdymo inovacijos“;6612-8265;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/bankines-irangos-bankomatu-ir-ju-sistemu-technines-prieziuros-departamento-direktorius-e-vilniuje/1-11037825
Verslo plėtros užsienio rinkose departamento direktorius (-ė) (tarptautinė IT įmonė);UAB „Personalo valdymo inovacijos“;6612-8265;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/verslo-pletros-uzsienio-rinkose-departamento-direktorius-e-tarptautine-it-imone-vilniuje/1-11037813
VYKDANTYSIS DIREKTORIUS (-Ė);UAB „PERSONALO SPRENDIMAI“;3500-4000;€/mėn.;Į rankas;https://www.cvbankas.lt/vykdantysis-direktorius-e-vilniuje/1-11023425
